ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,Contributor,JLCPCB Part Class,Resistance,Resistance (Ohms),link
1,LTST-C190KGKT,"ACT,PWR",LED0603-RD,2,LTST-C190KGKT,LITEON(光宝),LCSC,C125094,0.014,2,LCSC,Extended Part,,,
2,SMD-7525-3627-16Ω,BUZZER,BUZ-SMD_4P-L7.5-W7.5-BR,1,SMD-7525-3627-16Ω,S&S(海旭),LCSC,C2685546,0.27,4,LCSC,Extended Part,,,https://lcsc.com/eda_search?q=C2685546&%26type=1&ref=editor
3,4.7uF,"C1,C5,C16",C0805,3,CL21A475KBQNNNE,SAMSUNG(三星),LCSC,C98192,0.02,2,,Extended Part,,,
4,100nF,"C2,C3,C4,C9,C14,C17,C18,C21",C0603,8,CL10B104KB8NNNC,SAMSUNG(三星),LCSC,C1591,0.002,2,,Extended Part,,,
5,10uF,"C6,C10,C11,C12,C13,C15,C22,C23",C0603,8,CL10A106MQ8NNNC,SAMSUNG(三星),LCSC,C1691,0.004,2,,Extended Part,,,
6,47uF,"C7,C8",C0805,2,CL21A476MQYNNNE,SAMSUNG(三星),LCSC,C16780,0.024,2,,Basic Part,,,
7,2.2uF,"C19,C20",C0603,2,CL10A225KB8NNNC,SAMSUNG(三星),LCSC,C913904,0.02,2,LCSC,Extended Part,,,
8,470pF,C24,C0603,1,CC0603JRNPO9BN471,YAGEO(国巨),LCSC,C106211,0.004,2,,Extended Part,,,https://lcsc.com/eda_search?q=C106211&%26type=1&ref=editor
9,2.54-1*4P母,CN1,HDR-TH_4P-P2.54-V-F,1,2.54-1*4P母,BOOMELE(博穆精密),LCSC,C2718488,0.041,4,LCSC,Extended Part,,,
10,HC-PH-2AWT,CN2,CONN-SMD_PH-2AWT,1,HC-PH-2AWT,HCTL(华灿天禄),LCSC,C2845442,0.044,4,LCSC,Extended Part,,,
11,PMEG4010CEGWJ,D1,SOD-123_L2.7-W1.6-LS3.6-RD,1,PMEG4010CEGWJ,Nexperia(安世),LCSC,C552899,0.062,2,LCSC,Extended Part,,,
12,"BAT54S,215","D2,D3",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,"BAT54S,215",Nexperia(安世),LCSC,C47546,0.011,3,,Extended Part,,,
13,SiPM,D4,MICROFC−60035−SMT,1,MICROFC-60035-SMT-TR1,ON Semiconductor,Mouser,863-MFC60035SMTTR1,,3,Gamma_001,,,,https://www.mouser.at/datasheet/2/308/MICROC-SERIES-D-1489614.pdf
14,PMEG4010BEA,D5,SOD-323_L1.8-W1.3-LS2.5-RD,1,"PMEG4010BEA,115",Nexperia(安世),LCSC,C36975,0.038,2,,Extended Part,,,
15,47uH,L1,IND-SMD_L4.0-W4.0,1,SPH4018H470MT,Sunlord(顺络),LCSC,C98405,0.072,2,,Extended Part,,,
